csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA
0.3169917	0.0004296	0.0554191	0.0207487	0.1475037	0.2979814	0.3497648	0.2338699	0.5665684	0.7970221
0.3479707	0.1677057	0.7249437	0.8327325	0.4372933	0.2754290	0.2355464	0.0652721	0.5962706	0.4496405
0.2847841	0.2443430	0.1914999	0.0690011	0.7323579	0.7186592	0.5073632	0.2699426	0.7150916	0.6727263
0.4090003	0.4453395	0.5926194	0.6638724	0.4626347	0.2532017	0.6344677	0.6873845	0.5662102	0.4660027
0.4009522	0.7099810	0.3382067	0.2187586	0.5930893	0.6338486	0.0000000	0.2780000	0.5750650	0.6071751
0.0114857	0.6337748	0.3017946	0.6039616	0.4162143	0.5486775	0.6624458	0.4076093	0.5120768	0.5825079
0.0000000	0.2135001	0.3586253	0.4943858	0.3891475	0.1648722	0.7611877	0.4752470	0.6063801	0.7139075
0.7123385	0.4162023	0.6783629	0.5510119	0.4250634	0.1986924	0.5094289	0.4106448	0.5720344	0.5877477
0.6484749	0.0018641	0.2568967	0.2380151	0.4381243	0.2768395	0.4914278	0.6412205	0.1246031	0.1301540
0.1450202	0.2079865	0.1618059	0.2080289	0.4035237	0.1934587	0.7263482	0.3021935	0.4839584	0.6852092
0.6671549	0.6403410	0.0822787	0.6731286	0.1877057	0.3331971	0.3314587	0.1953277	0.0824981	0.0870306
0.6412431	0.2602921	0.0240568	0.1452661	0.3091054	0.4776133	0.0473838	0.1383278	0.5284989	0.5976782
0.6239446	0.0132091	0.5512594	0.4838177	0.4838842	0.2799672	0.3559406	0.4240609	0.7090645	0.7035708
0.6562140	0.0085195	0.3894369	0.5937397	0.6550409	0.2743878	0.6125701	0.7217602	0.7150653	0.4903434
0.7962691	0.1027681	0.2227973	0.5108797	0.3175004	0.8215328	0.0000000	0.2662695	0.5240311	0.8572100
0.7190592	0.0227932	0.4213264	0.3854897	0.5677093	0.6990095	0.7212039	0.1328234	0.5645596	0.5655893
0.8020410	0.3195749	0.1034043	0.0131582	0.1310364	0.2543706	0.6250150	0.2731317	0.6415358	0.8494351
0.3882847	0.1435638	0.4039063	0.3339544	0.3668792	0.5139022	0.2095641	0.5139381	0.6850655	0.5832482
0.7614832	0.1514015	0.4942730	0.6397895	0.8218070	0.4760022	0.0967305	0.2251641	0.6169068	0.7182339
0.6149431	0.3678700	0.2252206	0.2668059	0.2733354	0.6710086	0.7133604	0.0432108	0.5696532	0.3461097
0.6423114	0.7620159	0.6592229	0.7489596	0.4705036	0.5653669	0.6307686	0.0747399	0.4642756	0.4060694
0.7428909	0.2406843	0.3079864	0.3952391	0.5037587	0.2140626	0.7707736	0.5586454	0.6693230	0.6973815
0.2827663	0.5186653	0.6860474	0.6011586	0.5033620	0.2123055	0.7174842	0.4529972	0.3473711	0.2318160
0.5541508	0.0029452	0.1363039	0.0935775	0.7257692	0.4730853	0.5986766	0.2732158	0.6931759	0.0000000
0.4396324	0.0524751	0.3117719	0.7053808	0.5590212	0.4252167	0.4029966	0.1251778	0.6954775	0.0000000
0.2515164	0.0026730	0.0494528	0.0053905	0.0857256	0.6206222	0.5598811	0.2063265	0.7069576	0.3484255
0.5987179	0.4891877	0.1301540	0.0255641	0.3062646	0.3174859	0.5794767	0.2604300	0.6700879	0.4982392
0.6339208	0.6909833	0.4796793	0.4651751	0.6392319	0.3150941	0.7467528	0.2425390	0.6476614	0.7138162
0.1328751	0.6852654	0.2832914	0.3797375	0.4597927	0.2501951	0.7817665	0.5959764	0.6026716	0.7672888
0.7452394	0.0008476	0.0002643	0.4896315	0.0061952	0.0076863	0.6879688	0.0015662	0.6393295	0.0158839
0.0000000	0.6457351	0.5973308	0.4146461	0.6441679	0.7517273	0.6655970	0.3951598	0.5645295	0.6413112
0.6478948	0.6975958	0.0991645	0.0413016	0.4653129	0.2104613	0.6471478	0.2829344	0.6111905	0.6290346
0.8054487	0.1738884	0.2453460	0.3835118	0.6864687	0.5275836	0.0000000	0.1067010	0.6096196	0.3614891
0.6325850	0.0663950	0.1424902	0.1546111	0.6473127	0.2843721	0.2424241	0.2495939	0.5396126	0.6804317
0.6882518	0.0030536	0.2365657	0.1436361	0.5128934	0.2137151	0.6915786	0.3756441	0.7612068	0.6733230
0.5290916	0.0002310	0.1475076	0.5672479	0.1341057	0.5214800	0.3971878	0.2665039	0.4842870	0.6601423
0.6378253	0.0970892	0.2682057	0.2121823	0.3893337	0.2720471	0.5981651	0.5227034	0.6301743	0.7773206
0.6207463	0.4264196	0.0710764	0.0418499	0.2635470	0.5604098	0.4675712	0.0093080	0.2957065	0.3281076
0.1614250	0.1139192	0.3278368	0.2029512	0.4277662	0.4052714	0.4447429	0.4702505	0.6555190	0.7144007
0.3502800	0.2169458	0.0893336	0.0473853	0.2146534	0.1967684	0.6407693	0.3389759	0.5320495	0.5270024
0.5798639	0.0008552	0.0979466	0.0179215	0.1343700	0.5925108	0.5075123	0.0913994	0.0000000	0.0000000
0.5402577	0.0082775	0.6852047	0.4765414	0.4334570	0.7929218	0.0000000	0.2807695	0.6516402	0.7943242
0.0893858	0.2246950	0.3162968	0.7084563	0.5545961	0.3353062	0.6544948	0.6163176	0.6629606	0.5547391
0.6720277	0.0818687	0.5788880	0.6623329	0.5601705	0.3845539	0.4539204	0.4003173	0.6071292	0.6104162
0.0410987	0.5444887	0.4708345	0.3463507	0.4728217	0.1424740	0.6356592	0.6542802	0.6544355	0.6658802
0.3544312	0.0523291	0.2423020	0.1289367	0.5310340	0.5828390	0.6631796	0.0000000	0.7530954	0.0000000
0.3963718	0.0000594	0.0553323	0.0089811	0.1476226	0.2207933	0.4693234	0.1861966	0.7435290	0.4623739
0.6474510	0.0001404	0.0000259	0.0000000	0.2942613	0.4122763	0.5964967	0.0021354	0.6819843	0.2484745
0.6058120	0.0056404	0.1456736	0.6527304	0.2847553	0.6256396	0.7014200	0.0000000	0.5249640	0.0000000
0.1914060	0.6078722	0.5043571	0.5286509	0.4737428	0.3713204	0.4544361	0.5353280	0.5795895	0.7761415
0.7011293	0.0195685	0.6889880	0.7021322	0.4399039	0.1743435	0.5458318	0.4672359	0.6085028	0.6713952
0.7899174	0.0084199	0.2333846	0.7398557	0.5532639	0.2755576	0.6547742	0.6838668	0.5991284	0.8028631
0.7454374	0.0006044	0.0857706	0.0250836	0.1994305	0.2156448	0.6486368	0.2650787	0.6406216	0.6242386
0.2192004	0.3907091	0.0264428	0.4556564	0.1360188	0.2838858	0.3837430	0.1563575	0.6396670	0.6355680
0.6932461	0.0154931	0.6509683	0.6955900	0.4338064	0.6978654	0.0378823	0.1567834	0.4812546	0.3102860
0.1620780	0.0017255	0.0070299	0.0003862	0.1727818	0.0899400	0.6945693	0.0542655	0.4688849	0.5714439
0.6433482	0.7565674	0.6320350	0.4955715	0.6431018	0.3149853	0.7126712	0.5844703	0.6741483	0.6901522
0.7060875	0.4266198	0.6975996	0.6755041	0.7507162	0.1883892	0.4996005	0.0039340	0.4505870	0.1149361
