"Time"	csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA

0	0.7614516	0.0576555	0.2163435	0.0958835	0.2993290	0.2274826	0.7899034	0.3612202	0.7232714	0.7726271
50	0.7235687	0.0830764	0.3342117	0.1477574	0.3077352	0.4416368	0.2187972	0.3072196	0.5489978	0.7010189
100	0.6850039	0.0342025	0.6267994	0.3437519	0.4165741	0.4519159	0.3101074	0.3972441	0.8060742	0.7572058
150	0.6779397	0.0410925	0.6214204	0.5073900	0.3774295	0.5963185	0.1732963	0.4563602	0.7434131	0.6364609
200	0.7860664	0.0401314	0.7452713	0.5099976	0.3969587	0.6863153	0.2854845	0.4025945	0.6254908	0.6645770
250	0.8334588	0.0398125	0.5995363	0.6330871	0.5615553	0.5737935	0.2168147	0.3717342	0.6721467	0.7431369
300	0.8195458	0.0314786	0.5836884	0.4987087	0.5059356	0.6289122	0.2276257	0.3351032	0.5998363	0.7478118
350	0.6546352	0.0248111	0.6102768	0.5710406	0.5898805	0.5200892	0.2020676	0.3137991	0.7396816	0.6896990
400	0.6835557	0.0605682	0.6064372	0.5542115	0.4787529	0.5478752	0.2665443	0.3993978	0.6524857	0.7013152
450	0.7184392	0.0362763	0.7393163	0.6460573	0.4737958	0.5339573	0.3463909	0.3553368	0.6834004	0.7761349
500	0.7973037	0.0187281	0.7171045	0.6036382	0.6138601	0.6612328	0.2083455	0.3451540	0.6285760	0.6952829
550	0.7734151	0.0641710	0.6760873	0.6294088	0.6234610	0.5972563	0.2946194	0.3947218	0.5944548	0.7874704
600	0.6705525	0.0427714	0.5488741	0.5440311	0.6505684	0.5287880	0.2898916	0.3216701	0.6523137	0.6704164
650	0.6899410	0.0392090	0.6553836	0.4656084	0.5683495	0.5801511	0.2684207	0.3353669	0.7149242	0.6509619
700	0.6271769	0.0663672	0.6554322	0.4953537	0.5053583	0.6390808	0.2619162	0.3539661	0.7276987	0.7313717
750	0.7451673	0.0572267	0.7325360	0.5729140	0.5587378	0.6046470	0.2386656	0.4760226	0.7361677	0.7089519
800	0.7382063	0.0286270	0.6121966	0.5707304	0.5682798	0.7152591	0.2917931	0.4209649	0.7241407	0.5830814
850	0.6344709	0.0512391	0.7109657	0.5443190	0.4858526	0.5700082	0.2609732	0.3709832	0.6246951	0.7584988
900	0.6972542	0.0383249	0.6398629	0.5150611	0.5407332	0.4638250	0.3314435	0.3601508	0.6306796	0.6845679
950	0.7223475	0.0539881	0.6609174	0.5246705	0.4201343	0.6583504	0.2561963	0.4040547	0.6882022	0.8327912
1000	0.7363150	0.0460192	0.7354312	0.5860778	0.6348004	0.4857016	0.2805484	0.2823637	0.5555579	0.6667690
1050	0.6649983	0.0728472	0.5923335	0.5555737	0.6094572	0.6215147	0.2277022	0.3545970	0.7398107	0.7108051
1100	0.6682227	0.0778980	0.7066748	0.5531872	0.4631121	0.5044725	0.2320290	0.3995842	0.6461817	0.7461949
1150	0.6511986	0.0473678	0.7730556	0.5685569	0.4999513	0.5610543	0.2105350	0.3598562	0.6663270	0.6224258
1200	0.6910491	0.0452848	0.7690534	0.5489952	0.4945025	0.5738949	0.2538039	0.2874098	0.7144632	0.6872728
1250	0.7107321	0.0503286	0.7189487	0.5631035	0.4878294	0.5490918	0.2235458	0.3684629	0.7104418	0.7972597
1300	0.6615757	0.0206448	0.7202450	0.6774322	0.5597068	0.5449308	0.2725937	0.3717639	0.7142364	0.6349918
1350	0.6164990	0.0123292	0.6639584	0.5690350	0.4827217	0.5238730	0.2572077	0.4781620	0.6296068	0.6800846
1400	0.5901326	0.0253374	0.7842462	0.5986760	0.5710986	0.6076418	0.3677328	0.3605645	0.6484279	0.6019887
1450	0.7416346	0.0308988	0.6517206	0.5761868	0.5563533	0.6187942	0.2312857	0.3562746	0.5866730	0.6961054
1500	0.7571833	0.0642682	0.7049667	0.4904652	0.4910955	0.7695984	0.2627327	0.3041764	0.6973690	0.7504641
1550	0.7774957	0.0672688	0.6762279	0.5635004	0.5086252	0.6198390	0.2388385	0.4337235	0.7337888	0.6474650
1600	0.7576588	0.0493673	0.7219915	0.6453483	0.4775091	0.5502679	0.2714365	0.2747196	0.8135135	0.8190380
1650	0.6799013	0.0278819	0.6700890	0.5392657	0.6334609	0.6283898	0.2675954	0.4438030	0.8433146	0.6614338
1700	0.8018899	0.0361129	0.6333392	0.5234326	0.5576128	0.6237551	0.2231969	0.3963968	0.7159907	0.8622804
1750	0.6180211	0.0250906	0.7248764	0.5821735	0.5208553	0.6838165	0.2751066	0.3442246	0.7941412	0.6554319
1800	0.6773584	0.0752885	0.6281906	0.5278716	0.4690994	0.6992245	0.1816143	0.3978621	0.6534624	0.6979554
1850	0.6817384	0.0383539	0.7067776	0.6616055	0.4633730	0.5495961	0.2517511	0.3779251	0.7128851	0.8142729
1900	0.7354641	0.0269522	0.7178674	0.4700491	0.5136144	0.4915243	0.1495689	0.4185673	0.6750220	0.5895994
1950	0.7888427	0.0222598	0.6252311	0.5254974	0.4654748	0.6105277	0.2591302	0.4445489	0.8191645	0.8163203
2000	0.7784957	0.0400908	0.5567087	0.6371754	0.5435294	0.4814279	0.2963096	0.4957733	0.5709976	0.6444484
2050	0.7651605	0.0858477	0.7300614	0.6375032	0.5463510	0.5461398	0.2227409	0.3809727	0.7062249	0.5505503
2100	0.8071151	0.0376472	0.7112697	0.5846330	0.4516909	0.5473501	0.2620597	0.3453594	0.7191060	0.8372602
2150	0.6610423	0.0225908	0.7057094	0.4823680	0.5137892	0.5498890	0.2864481	0.4005592	0.6951989	0.8194071
2200	0.7460596	0.0310806	0.6966343	0.5622858	0.5623296	0.4658780	0.2521168	0.3971306	0.7358416	0.9013200
2250	0.7353752	0.0468848	0.5979709	0.8641140	0.4678305	0.5532556	0.2293403	0.3528511	0.6643522	0.8088345
2300	0.5960908	0.0643287	0.5314634	0.6382713	0.5600697	0.5872497	0.2616648	0.3386486	0.6819094	0.7311765
2350	0.6859280	0.0638355	0.6761218	0.5743169	0.4678908	0.5835764	0.2096759	0.4765901	0.7587707	0.6397748
2400	0.7833354	0.0618900	0.5808838	0.4593113	0.5295977	0.7134509	0.2397601	0.3640354	0.6362995	0.5840239
2450	0.7173582	0.0448464	0.6245848	0.5111121	0.5119209	0.5835998	0.2458536	0.4106181	0.6502412	0.6720264
2500	0.7465793	0.0819936	0.5170984	0.4489439	0.4922029	0.5320035	0.2346928	0.3702319	0.7702021	0.6843180
2550	0.7618807	0.0276883	0.5776216	0.5991267	0.4727872	0.5614970	0.2621570	0.3105805	0.7848053	0.7736876
2600	0.7048005	0.0420523	0.5949022	0.6154840	0.4603042	0.5365674	0.2108025	0.3827481	0.7104506	0.6760539
2650	0.7149227	0.0894926	0.6442332	0.5583146	0.4844201	0.5667322	0.2000289	0.3604609	0.5787534	0.6710709
2700	0.7726289	0.0790130	0.7615187	0.6001668	0.5062845	0.5042066	0.1833776	0.3629541	0.7540265	0.6279481
2750	0.6850024	0.0440473	0.6019519	0.5700887	0.5413574	0.6052653	0.2579013	0.3420458	0.6492865	0.7264955
2800	0.7591700	0.1050086	0.7539284	0.4792689	0.4827114	0.5428441	0.2487696	0.3138537	0.6768723	0.6833357
2850	0.5890305	0.0622244	0.6651370	0.5795065	0.5324442	0.5882409	0.2660706	0.3002199	0.6201847	0.6847498
2900	0.7550152	0.0534341	0.7088784	0.4824369	0.4174452	0.5138430	0.2680273	0.3374050	0.6180943	0.7576892
2950	0.7147059	0.0263772	0.6198206	0.6251515	0.5554338	0.4640740	0.2390826	0.3462582	0.5237526	0.6665597
3000	0.5187523	0.0326887	0.6491776	0.5307497	0.5712684	0.5137389	0.2245558	0.3126837	0.6291469	0.8310024
3050	0.7235542	0.0228990	0.6159146	0.5369129	0.4626034	0.4621172	0.2682748	0.3581094	0.5891809	0.7150812
3100	0.6201142	0.0705952	0.6840342	0.6165360	0.5322743	0.5570069	0.2384301	0.4203102	0.6241654	0.7194377
3150	0.7860220	0.0461664	0.6239838	0.5396637	0.5641943	0.5587011	0.2301242	0.4174679	0.7820215	0.7479945
3200	0.8620594	0.0389323	0.6771668	0.4797077	0.6018027	0.6138623	0.2457064	0.4019745	0.6344567	0.6524162
3250	0.7107387	0.0369284	0.7399056	0.5411553	0.4430704	0.5971016	0.2515570	0.3010028	0.7701257	0.6910576
3300	0.6848652	0.0582580	0.6604384	0.4615959	0.4633492	0.6631459	0.2856932	0.3846426	0.7806045	0.5393816
3350	0.7161589	0.0458899	0.6283032	0.4377430	0.4616626	0.4760897	0.2194612	0.3044941	0.6564934	0.6762950
3400	0.7181616	0.0216230	0.6802693	0.5655498	0.5063641	0.5398963	0.2583335	0.3251125	0.6440411	0.6538638
3450	0.6025567	0.0328300	0.6066142	0.6656330	0.5642656	0.5421661	0.2696883	0.2959130	0.6328139	0.6345455
3500	0.7711212	0.0209957	0.5169345	0.5597411	0.5835611	0.6021404	0.2222443	0.3814991	0.5952768	0.6366492
3550	0.6230948	0.0309982	0.6682173	0.5005246	0.5220821	0.6115871	0.2204126	0.3712128	0.6111759	0.6654604
3600	0.7177478	0.0334112	0.6021221	0.6601199	0.5401000	0.4687353	0.2236316	0.4624248	0.6427668	0.6918140
3650	0.7069688	0.0343957	0.7536127	0.5122905	0.5365515	0.5817717	0.2247844	0.3625992	0.7324572	0.6773062
3700	0.7161350	0.0352846	0.7946148	0.6975545	0.5609400	0.6593896	0.2606856	0.3855910	0.7143164	0.6662507
3750	0.6822220	0.0719238	0.7271406	0.5909065	0.4977160	0.6134648	0.2019225	0.4129431	0.6262241	0.6405710
3800	0.7239055	0.0339415	0.5671914	0.5102883	0.4858604	0.6178027	0.2129964	0.3598120	0.5970165	0.7208638
3850	0.6433939	0.0805830	0.6206393	0.4170989	0.5786762	0.6389651	0.3005236	0.3485195	0.5926151	0.7592012
