g0	g1	g2
0.126970	0.610021	0.054068
0.966718	0.420121	0.402396
0.260476	0.624328	0.139023
0.897237	0.401816	0.348945
0.376750	0.932146	0.345667
0.336222	0.011763	0.019882
0.451376	0.022921	0.025939
0.840255	0.244186	0.220803
0.123102	0.590198	0.080287
0.543026	0.325680	0.178473
0.373012	0.890392	0.323100
0.447997	0.598892	0.279362
0.129441	0.296424	0.036377
0.859879	0.007312	0.010870
0.820388	0.634625	0.525549
0.352054	0.803069	0.284009
0.228887	0.123872	0.039831
0.776784	0.924168	0.705310
0.594784	0.325076	0.198986
0.137554	0.303746	0.017608
0.852900	0.116822	0.109366
0.235507	0.364564	0.086271
0.146227	0.454607	0.077773
0.589869	0.986142	0.582564
0.574012	0.751953	0.427173
0.061270	0.561512	0.032229
0.590426	0.572214	0.323646
0.245350	0.740693	0.181573
0.340445	0.287377	0.086330
0.984729	0.914479	0.892531
0.919540	0.010693	0.004256
0.037772	0.474521	0.021737
0.861549	0.259146	0.236638
0.753569	0.607235	0.442283
0.405179	0.317092	0.141794
0.343526	0.266463	0.085824
0.170917	0.712394	0.121494
0.394659	0.408662	0.150425
0.641666	0.705810	0.441747
0.274592	0.920000	0.252043
0.462354	0.740984	0.337729
0.871372	0.109157	0.111968
0.401131	0.456672	0.184311
0.610588	0.412527	0.236931
0.117967	0.455994	0.062777
0.702184	0.236508	0.164590
0.414034	0.769694	0.302719
0.342345	0.549898	0.189851
0.595925	0.530660	0.318855
0.199864	0.093826	0.019115
0.099737	0.022924	0.004134
0.734596	0.425014	0.309663
0.016545	0.029375	-0.002224
0.481385	0.964501	0.477180
0.095939	0.680094	0.068194
0.497306	0.260754	0.118017
0.838796	0.755564	0.642234
0.897333	0.761476	0.676442
0.732592	0.300877	0.226511
0.758724	0.306340	0.229388
0.560657	0.518774	0.297110
0.471478	0.991551	0.466902
0.138768	0.715202	0.101744
0.094461	0.875058	0.093698
0.942256	0.692766	0.641888
0.134099	0.499167	0.086918
0.630700	0.658846	0.413088
0.639568	0.185652	0.120100
0.433490	0.511290	0.230502
0.155847	0.157150	0.010984
0.862609	0.308961	0.257649
0.683046	0.078630	0.043575
0.085709	0.315088	0.046215
0.566103	0.537711	0.300517
0.149825	0.175560	0.003159
0.477454	0.948597	0.459567
0.848938	0.597160	0.510977
0.140144	0.392154	0.058954
0.329551	0.703653	0.214230
0.634074	0.183528	0.124874
0.619378	0.664056	0.415183
0.395043	0.626405	0.257380
0.672398	0.642456	0.439427
0.809980	0.540599	0.430477
0.386999	0.789786	0.295098
0.544759	0.807265	0.437968
0.988949	0.018606	0.024797
0.984983	0.707388	0.712615
0.370382	0.279312	0.122519
0.562942	0.701861	0.396148
0.249772	0.359389	0.091506
0.976451	0.708165	0.687094
0.816546	0.207948	0.162385
0.044348	0.964300	0.041968
0.409833	0.976914	0.391143
0.029887	0.250128	0.010512
0.207901	0.104050	0.012458
0.630799	0.320449	0.185898
0.657298	0.896086	0.581410
0.249316	0.948775	0.230936
0.993124	0.860437	0.848631
0.030940	0.775949	0.013301
0.356500	0.004606	-0.015169
0.247345	0.288331	0.075355
0.187918	0.467910	0.094027
0.113236	0.449167	0.054741
0.689681	0.447421	0.326728
0.886192	0.557792	0.501363
0.279224	0.427877	0.112793
0.690829	0.690714	0.479590
0.606042	0.035221	0.024480
0.060974	0.543944	0.034376
0.168593	0.507917	0.083526
0.913318	0.468025	0.418144
0.765949	0.973561	0.748105
0.216804	0.727371	0.157422
0.936416	0.700486	0.656278
0.690928	0.515391	0.349514
0.932143	0.337711	0.318036
0.277999	0.107630	0.015891
0.022704	0.697879	0.010025
0.921464	0.541870	0.486975
0.449268	0.043587	-0.015627
0.419269	0.074629	0.036458
0.695356	0.717019	0.502015
0.372557	0.661852	0.267956
0.415514	0.524683	0.222537
0.321831	0.446253	0.148449
0.804784	0.066302	0.053974
0.419909	0.744757	0.315138
0.784619	0.361155	0.291193
0.697388	0.205344	0.149489
0.500738	0.948737	0.466262
0.618913	0.555495	0.351579
0.497259	0.357893	0.170172
0.528988	0.164291	0.090076
0.770191	0.785148	0.604285
0.030362	0.847700	0.025635
0.663835	0.953696	0.653754
0.273989	0.111044	0.042410
0.421774	0.252125	0.084344
0.036200	0.033633	-0.007092
0.525153	0.892920	0.452451
0.355660	0.037910	0.008756
0.967397	0.662580	0.656580
0.591713	0.219559	0.132622
0.418438	0.243745	0.112368
0.751128	0.885036	0.668833
0.686362	0.790218	0.532236
0.907872	0.224283	0.211953
0.972641	0.736107	0.715631
0.726259	0.139168	0.089984
0.412651	0.302827	0.121818
0.990003	0.657803	0.642620
0.535660	0.713897	0.386110
0.559253	0.611185	0.324192
0.867020	0.136624	0.109461
0.019276	0.984960	0.026667
0.123097	0.195246	0.026288
0.808300	0.123436	0.105207
0.547939	0.627712	0.351667
0.400203	0.618673	0.237913
0.575352	0.371660	0.202072
0.818692	0.047902	0.007290
0.670035	0.480088	0.321278
0.140174	0.062993	0.014150
0.490671	0.185760	0.093974
0.120248	0.568018	0.061001
0.537020	0.483467	0.256239
0.110968	0.445289	0.065500
0.658215	0.309040	0.196558
0.654871	0.274580	0.186751
