g0	g1	g2
0.126970	0.610021	0.026130
0.966718	0.420121	0.556836
0.260476	0.624328	0.074254
0.897237	0.401816	0.525134
0.376750	0.932146	0.020045
0.336222	0.011763	0.348193
0.451376	0.022921	0.456624
0.840255	0.244186	0.650701
0.123102	0.590198	0.058080
0.543026	0.325680	0.367794
0.373012	0.890392	0.031858
0.447997	0.598892	0.190755
0.129441	0.296424	0.089079
0.859879	0.007312	0.858174
0.820388	0.634625	0.304660
0.352054	0.803069	0.070616
0.228887	0.123872	0.212013
0.776784	0.924168	0.046337
0.594784	0.325076	0.407070
0.137554	0.303746	0.071599
0.852900	0.116822	0.762990
0.235507	0.364564	0.150063
0.146227	0.454607	0.091048
0.589869	0.986142	0.009044
0.574012	0.751953	0.137926
0.061270	0.561512	0.024691
0.590426	0.572214	0.238372
0.245350	0.740693	0.063465
0.340445	0.287377	0.231102
0.984729	0.914479	0.076231
0.919540	0.010693	0.904131
0.037772	0.474521	0.023662
0.861549	0.259146	0.651654
0.753569	0.607235	0.280664
0.405179	0.317092	0.290014
0.343526	0.266463	0.246276
0.170917	0.712394	0.048890
0.394659	0.408662	0.222520
0.641666	0.705810	0.177624
0.274592	0.920000	0.021385
0.462354	0.740984	0.114890
0.871372	0.109157	0.793107
0.401131	0.456672	0.219072
0.610588	0.412527	0.343751
0.117967	0.455994	0.073159
0.702184	0.236508	0.534630
0.414034	0.769694	0.079394
0.342345	0.549898	0.155687
0.595925	0.530660	0.282313
0.199864	0.093826	0.181474
0.099737	0.022924	0.099298
0.734596	0.425014	0.419832
0.016545	0.029375	0.013348
0.481385	0.964501	0.029973
0.095939	0.680094	0.033638
0.497306	0.260754	0.355974
0.838796	0.755564	0.213502
0.897333	0.761476	0.207179
0.732592	0.300877	0.518262
0.758724	0.306340	0.523257
0.560657	0.518774	0.276058
0.471478	0.991551	0.003391
0.138768	0.715202	0.042018
0.094461	0.875058	0.022842
0.942256	0.692766	0.278618
0.134099	0.499167	0.087142
0.630700	0.658846	0.212720
0.639568	0.185652	0.522193
0.433490	0.511290	0.220714
0.155847	0.157150	0.117849
0.862609	0.308961	0.587233
0.683046	0.078630	0.619205
0.085709	0.315088	0.077912
0.566103	0.537711	0.257820
0.149825	0.175560	0.100378
0.477454	0.948597	0.031198
0.848938	0.597160	0.346012
0.140144	0.392154	0.089182
0.329551	0.703653	0.080002
0.634074	0.183528	0.526208
0.619378	0.664056	0.211957
0.395043	0.626405	0.157509
0.672398	0.642456	0.247853
0.809980	0.540599	0.364708
0.386999	0.789786	0.070804
0.544759	0.807265	0.103198
0.988949	0.018606	0.976945
0.984983	0.707388	0.304068
0.370382	0.279312	0.285996
0.562942	0.701861	0.168875
0.249772	0.359389	0.161748
0.976451	0.708165	0.280568
0.816546	0.207948	0.639333
0.044348	0.964300	0.000787
0.409833	0.976914	0.000232
0.029887	0.250128	0.025448
0.207901	0.104050	0.177095
0.630799	0.320449	0.412420
0.657298	0.896086	0.060717
0.249316	0.948775	0.007163
0.993124	0.860437	0.132713
0.030940	0.775949	-0.003775
0.356500	0.004606	0.338047
0.247345	0.288331	0.180066
